Estádio;Nome Popular;Clube;Latitude;Longitude
Estádio Alberto José Armando;La Bombonera;Boca Juniors;-34,6356;-58,3648
Estádio Pedro Bidegain;El Nuevo Gasómetro;San Lorenzo;-34,6521;-58,4401
Estádio Monumental Antonio Vespucio Liberti;Monumental de Nuñez;River Plate;-34,5453;-58,4498
Estádio Presidente Perón;El Cilindro;Racing Club;-34,6666;-58,3689
Estádio Libertadores de América;Doble Visera;Independiente;-34,6702;-58,3713
Estádio Tomás Adolfo Ducá;El Palacio;Huracán;-34,6428;-58,3966
Estádio Diego Armando Maradona;La Paternal;Argentino Juniors;-34,6061;-58,4726
Estádio Julio Humberto Grondona;El Viaducto;Arsenal de Sarandí;-34,6784;-58,3406
Estádio Cidade de Lanús;La Fortaleza;Lanús;-34,7173;-58,3844
Estádio José Amalfitani;El Fortín;Vélez Sarsfield;-34,6354;-58,5207
Estádio Arquiteto Ricardo Etcheverri;El Templo de Madera;Ferro Carril Oeste;-34,61850476;-58,4487
Estádio Islas Malvinas;Estádio Islas Malvinas;All Boys;-34,61687022;-58,498
